key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-1,http://www.dowjones.com/products/pevc/,Henry Vasquez,VentureSource,"in-depth company profiles, customizable search, and premium data and insights including post-money valuations, angel investor data and relevant real-time news",Website,Venture Capital,Fundraising,VC,NULL,NULL
-2,https://www.capitaliq.com/ciqdotnet/login-sso.aspx?contextType=external&username=string&enablePersistentLogin=true&OverrideRetryLimit=0&contextValue=%2Foam&password=sercure_string&challenge_url=https%3A%2F%2Fwww.capitaliq.com%2Fciqdotnet%2Flogin-sso.aspx&request_id=-4689722220475480632&authn_try_count=0&locale=en_US&resource_url=https%253A%252F%252Fwww.capitaliq.com%252FCIQDotNet%252FLogin.aspx,Henry Vasquez,"S&P Capital IQ - Our Products: Company and Market Research, Financial Analytics, Screening, and Relationship Management Tools for Financial Professionals",,Website,Cap Table,NULL,NULL,NULL,NULL
-3,https://www.thomsononeim.com/s-log_in.asp,Henry Vasquez,Thomson One Analytics,,Website,Cap Table,NULL,NULL,NULL,NULL
-4,https://www.cbinsights.com/,Henry Vasquez,Venture Captial Database,,Website,Cap Table,NULL,NULL,NULL,NULL
-5,https://quid.com/,Henry Vasquez,Quid,Searches and visualizes the world's collective intelligence,Website,ideas,NULL,NULL,NULL,NULL
-6,https://www.younoodle.com/,Henry Vasquez,YouNoodle,Connects startups with opportunities for growth,Website,Entrepreneurship,NULL,NULL,NULL,NULL
-7,https://www.svb.com/analytics/,Henry Vasquez,Silicon Valley Bank (SVB),Analytics Overview,Website,Fundraising,resources,NULL,NULL,NULL
-8,http://hydeparkangels.com/members/,Henry Vasquez,Hyde Park Angels,HPA members and network,Website,VC,Venture Capital,NULL,NULL,NULL
-9,http://www.thefunded.com/,Henry Vasquez,The Funded - Resource for Entrepreneurs,"TheFunded.com is an online community of over 20,000 CEOs, Founders and entrepreneurs to discuss fundraising, rate and review angel investors and venture capitalists, and discuss strategies to grow a startup business.",Discussion,Fundraising,resources,NULL,NULL,NULL
-10,https://www.bvp.com/portfolio/anti-portfolio,Henry Vasquez,Bessemer Venture Partners,,Website,Venture Capital,NULL,NULL,NULL,NULL
-11,http://www.jasonmendelson.com/,Henry Vasquez,Mendelson's Musing,"The blog of Jason Mendelson's, software engineer, lawyer, venture capitalist living in Boulder, Colorado ",Reading,VC blogs,ideas,NULL,NULL,NULL
-12,http://www.feld.com/,Henry Vasquez,Feld Throughts,"The blog of Brad Feld, a managing director at Foundry Group in Boulder, and investor of software and internet companies, loves to read.",Reading,VC blogs,ideas,NULL,NULL,NULL
-13,http://christophjanz.blogspot.com/2015/05/6-things-to-pre-empt-90-of-due-diligence.html?utm_content=buffer465cb&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Henry Vasquez,The Angel VC: 6 things to pre-empt 90% of due diligence,"Christoph Janz's blog - thoughts on Internet Startups, SaaS and early stage investing",Reading,VC blogs,Guide,NULL,NULL,NULL
-14,http://www.flowgenomeproject.com/?pagerd_sdgpabaj8252t2exko6r,Henry Vasquez,Flow Gnome Project,"Flow Genome Project is a interdisciplinary, global organization committed to mapping the genome of Flow by 2020 and open sourcing it to everyone. Flow is the peak performance state where you feel your best and you perform your best.",Website,NULL,NULL,NULL,NULL,NULL
-15,https://contractexpress.wsgr.com/DealBuilderUser/Questionnaire.aspx?db_template_reference=FAST_TERM_SHEET_EXTERNAL&db_template_version=1.00,Henry Vasquez,Wilson Sonsini Term Sheet Builder,,Website,NULL,NULL,NULL,NULL,NULL
-16,http://venturecapitalflows.com/,Henry Vasquez,VC Funding Flows,A visualization for VC funding,Website,Fundraising,NULL,NULL,NULL,NULL
-17,https://www.quora.com/What-are-some-good-pre-seed-investment-firms-in-DC,Xiaoyun Yang,Early stage funding in DC,"Takeaway - Three angels (NextGen Angels, Mark Walsh, and Sean Glass), one accelerator (Acceleprise) and one incubator (1776). 3Si Micro Venture & Holdings is a pre-seed investment firm.",Discussion,Fundraising,NULL,NULL,NULL,NULL
-18,https://www.quora.com/What-is-seed-funding-and-how-does-it-work,Xiaoyun Yang,What is seed funding and how you get it,Answer on Quora,Discussion,Fundraising,NULL,NULL,NULL,NULL
-19,https://medium.com/@nchirls/the-current-state-of-seed-investing-c2929443058f#.rxl354yvn,Xiaoyun Yang,"The current state of ""seed"" funding",things you need to know if you're a first time entrepreneur looking for seed funding,Reading,Fundraising,NULL,NULL,NULL,NULL
-20,http://www.atomic-squirrel.net/startup-checklist/?ref=ybrikman-launch-post,Jevgeniy Brikman,The Startup Checklist,,Interactive,Fundraising,resources,NULL,NULL,NULL
-21,https://medium.com/@cdixon/the-internet-economy-fc43f3eff58a#.wtx80zt1u,Xiaoyun Yang,The Internet Economy - Where the money is,,Reading,Fundraising,NULL,NULL,NULL,NULL
-22,http://fundersandfounders.com/how-startup-valuation-works/,Xiaoyun Yang,Seed Funding Guide with infographics,How valuation for seed funding is calculated and how much money to ask for at seed funding.,Reading,Fundraising,NULL,NULL,NULL,NULL
-23,https://www.quora.com/search?q=slogan+startups,LooseLeaf,Slogan for your startup,from Quora,Discussion,Fundraising,NULL,NULL,NULL,NULL
-24,https://www.entrepreneur.com/article/225155,LooseLeaf,10 Questions VCs ask during seed round,This is a guide to prepare you for a pitch,Reading,Fundraising,NULL,NULL,NULL,NULL
-25,http://fundersandfounders.com/how-startup-valuation-works/,LooseLeaf,How Startup Valuation Work,Explainer infographics,Image,Fundraising,NULL,NULL,NULL,NULL
-26,https://medium.com/@xiaoyunyang/thanks-for-this-post-8845269f500b#.mgu4s4pk0,Xiaoyun Yang,Ingredients of a successful startup pitch,My response to an article on training for venture capitalism by building an imaginary portfolio. Entrepreneurs should do this exercise too because they can improve their chances of succeeding in fundraising and building a startup if they know what investors look for.,Reading,Fundraising,ideas,NULL,NULL,NULL
-27,https://medium.com/@jason/starting-today-civilians-can-be-angel-investors-should-they-7fef6023b6de#.nifximlho,Xiaoyun Yang,Anyone can be an angel investor today,,Reading,Fundraising,NULL,NULL,NULL,NULL
-28,https://medium.com/life-learning/vcs-fund-people-and-products-not-pitch-decks-c692847b555b#.8r0am11sf,Xiaoyun Yang,How to pitch to a VC,,Reading,Fundraising,NULL,NULL,NULL,NULL
-29,https://attach.io/startup-pitch-decks/?ref=producthunt,Xiaoyun Yang,Startup Pitch Deck,A collection of real fundraising decks from real startups.,Website,Fundraising,template,NULL,NULL,NULL
