"key","url","username","title","description","favicon","tag1","tag2","tag3","tag4","tag5"
"-1","http://www.shiftforward.eu/techtalks/2013/03/why-post-functional-programming-matters/","Xiaoyun Yang","Why (Post-) Functional Programming matters","A good article on the benefits of using functional programming to build ad-tech platforms. Such benefits include scalability (e.g., monoids), referential transparency (which gives you resiliency, inherent parallelism, laziness, and momoization), and modularity (e.g., function composition and higher order functions).","Reading","Engineering","motivation","Scala","NULL","NULL"
"2","http://xiaoyunyang.github.io/presentation.html","LooseLeaf","Interactive Data Presentation","A presentation on how data visualization can be used for better story telling and decision making.","Reading","Product","business","plan","motivation","in progress"
"-3","http://looseleaf.us","LooseLeaf","LooseLeaf.us","A social media platform for online education","Website","Product","in progress","NULL","NULL","NULL"
"-4","https://medium.com/@xiaoyunyang/thanks-this-lean-startup-canvas-is-a-really-helpful-exercise-for-me-as-i-m-working-on-launching-my-f23e13f146f1#.brqe7a45j","LooseLeaf","Startup Canvas for LooseLeaf","What LooseLeaf is about in an image - includes descriptions on the product, unique marketable elements, key message, target audience, and audience Influencer. Inspired by Jon Westenberg's article.","Image","business","plan","NULL","NULL","NULL"
"-5","https://www.youtube.com/watch?v=6BTg8OXhEZk","TED","Open data driven policies","Ben Wellington talks about how public decision making should be more data-driven and how data visualization can be used to make public data more accessible to people.","Video","Marketing","idea","use case","NULL","NULL"
"-6","http://www.gapminder.org/data/","Has Rosling","Public Data from Gapminder","Data in health, economy, work, population, disease etc ready for visualization","Website","Marketing","idea","use case","NULL","NULL"
"-7","https://www.youtube.com/watch?v=h2p1-8IWB08","TED","Storytelling using data visualization","Lam Ghuy Vo gives this talk on constructing active storytelling using data visualization. Insight gained from this talk includes the various story telling format, including Chronological (time), logical, and spatial/location proximity.","Video","UX","Design","motivation","idea","NULL"
"-8","https://www.youtube.com/watch?v=bBS2qDCFzD8","TED","The death of democracy: Daylin Leach at TEDxPhoenixville","","Video","Marketing","idea","use case","NULL","NULL"
"-9","https://www.youtube.com/watch?v=PJy8vTu66tE","TED","Our democracy no longer represents the people","Larry Lessig talks about how an average American's vote carries little to no weight in effecting change. Issues with Gerrymandering, party membership cost and donations are discussed.","Video","Marketing","idea","use case","NULL","NULL"
"-10","https://www.linkedin.com/pulse/20141208023559-947775-reactive-programming-using-rxjava-and-akka","Xiaoyun Yang","Reactive Programmng using RxJava and Akka","An intro of the reactive programming paradigm and a discussion about the differences between event driven concurrency and actor based concurrency.","Reading","Engineering","reactive","learning","NULL","NULL"
"-11","http://blog.arkitex.co.za/?p=134","Xiaoyun Yang","Reactive applications and an intro to event driven architecture","Why switch from event driven to message driven concurrency","Reading","Engineering","reactive","learning","NULL","NULL"
"-12","http://berb.github.io/diploma-thesis/original/055_events.html","Xiaoyun Yang","Event Driven Concurrency Theory","","Reading","Engineering","reactive","learning","NULL","NULL"
"-13","http://berb.github.io/diploma-thesis/original/054_actors.html","Xiaoyun Yang","Actor-based Concurrency","The actor model has its theoretical roots in concurrency modeling and message passing","Reading","Engineering","reactive","learning","NULL","NULL"
